;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e
Source;Lien;Niveau;Niv 1;Niv 1 id;Niv 2;Niv 2 id;Niv 3;Niv 3 id;Niv 4;Niv 4 id;Niv 5;Niv 5 id;Niv 6;Niv 6 id;Niv 7;Niv 7 id;Niv 8;Niv 8 id;Niv 9;Niv 9 id;Niv 10;Niv 10 id;Niv 11;Niv 11 id;;Niv 1 geo;Niv 1 geo id;Niv 2 geo;Niv 2 geo id;Niv 3 geo;Niv 3 geo id;Niv 4 geo;Niv 4 geo id;Niv 5 geo;Niv 5 geo id;Niv 6 geo;Niv 6 geo id;Niv 7 geo;Niv 7 geo id;Niv 8 geo;Niv 8 geo id;Niv 9 geo;Niv 9 geo id;Niv 10 geo;Niv 10 geo id;Niv 11 geo;Niv 11 geo id;Niv 12 geo;Niv 12 geo id;Niv 13 geo;Niv 13 geo id;ata / ventil;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022 (e)
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Industrie de l'énergie;V0.2.1;Production d'électricité;V0.2.1.1;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;41,34666326;41,47419689;42,40726502;30,13738906;26,62529026;29,23349733;32,61730499;28,73309224;41,2948895;34,9341534;34,44506451;27,67040209;31,41536435;34,47600466;32,90150951;38,69650324;34,40460436;34,77373188;33,76559787;33,25413784;34,46948327;27,6491453;30,53994747;30,69156222;19,13151839;21,38821632;24,95406268;29,24222101;21,22108709;19,92966153;17,67194674;19,81385626;22,49566938
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Industrie de l'énergie;V0.2.1;Chauffage urbain;V0.2.1.2;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;6,014942187;6,736728634;6,600060371;6,572908418;6,175157378;6,153780547;6,951796276;6,54346388;6,553455164;6,427957241;6,414032333;6,533778294;6,613533245;6,807951531;6,95853763;6,777760468;6,903587931;6,450751339;6,636207699;5,971034773;6,500103286;8,118016463;9,464443915;7,794642055;5,659155261;6,491170671;6,660055042;6,59205061;5,800497012;5,710212132;5,446010235;5,902939058;4,88898047
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Industrie de l'énergie;V0.2.1;Raffinage du pétrole;V0.2.1.3;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;15,24851246;15,52670231;15,69444478;15,68658107;16,39135268;16,54143877;17,33801131;18,14656594;17,92394102;17,17829371;17,21204204;17,30729199;16,42920692;16,39561422;16,8069505;16,91485643;17,34838526;17,50415058;17,5960619;16,64381988;14,78356123;14,30742185;11,71767311;10,94545603;10,88460286;10,46441712;10,19414134;9,605253638;9,097393259;8,709691579;7,184992655;6,520617489;7,228241924
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Industrie de l'énergie;V0.2.1;Transformation des combustibles minéraux solides;V0.2.1.4;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;4,179929856;4,194202152;4,214608363;3,826820452;3,731805193;3,75865801;3,690549671;3,551821124;3,884068672;3,943438108;3,885714324;3,725259822;3,598214634;3,583606069;3,40607599;3,191175855;3,172412771;3,109582937;3,007375832;2,741483163;2,977189678;2,939390839;2,700632584;2,806948231;2,958748864;2,939652224;2,86167198;2,974526915;2,929430963;2,847214543;2,11928454;2,168955121;1,971340572
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Industrie de l'énergie;V0.2.1;Extraction et distribution de combustibles solides;V0.2.1.5;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;5,354104;4,968536473;5,188753987;5,420562423;5,541810404;5,49147309;4,173809569;3,552024687;3,446517271;3,27427515;2,245139644;2,018779107;1,342245979;1,28094416;0,746427895;0,414596;0,264516;0,039396;0,039396;0,039396;0,039396;0,030016;0,013132;0,015008;0,011256;0,011256;0,011256;0,011256;0,011256;0,011256;0,011256;0,0013132;0,0013132
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Industrie de l'énergie;V0.2.1;Extraction et distribution de combustibles liquides;V0.2.1.6;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,475362038;0,46484442;0,45196413;0,43512749;0,438323163;0,394155839;0,335148773;0,285015084;0,273345435;0,246270033;0,227879301;0,222218567;0,211654309;0,197437676;0,18476447;0,175285219;0,172075876;0,158982448;0,158056836;0,144272559;0,144414454;0,144732931;0,129542608;0,127548383;0,122897283;0,134183274;0,131064827;0,122116602;0,124498297;0,115568751;0,102555351;0,103616125;0,116615262
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Industrie de l'énergie;V0.2.1;Extraction et distribution de combustibles gazeux;V0.2.1.7;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;3,465737181;3,708052823;3,534223059;3,468011326;3,530131139;3,368569215;3,454087576;3,350338987;3,141535489;3,16363757;3,160835452;2,942411475;3,015545401;3,092239016;3,180237542;3,153603601;3,031278522;2,907834562;2,898181127;2,816684777;2,489444994;2,279655405;2,338790213;2,165702851;1,816781278;1,745028277;1,762216209;1,651569726;1,596534779;1,583069395;1,265232031;1,196775401;1,090651146
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Industrie de l'énergie;V0.2.1;Fabrication de charbon de bois par pyrolyse;V0.2.1.8;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,039529989;0,035748519;0,031967049;0,028185578;0,024404108;0,020622638;0,016841168;0,013059697;0,009278227;0,005496757;0,001715286;0,001715286;0,001715286;0,001694866;0,001674446;0,001654026;0,001633606;0,001613186;0,001592766;0,001572346;0,001429405;0,001286465;0,001429405;0,001706707;0,001637498;0,00211177;0,002702496;0,002019897;0,001297204;0,001183647;0,001239958;0,001239958;0,001239958
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Industrie de l'énergie;V0.2.1;Valorisation énergétique des déchets;V0.2.1.9;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;2,726420556;2,980482855;3,234545154;3,490391341;3,515295855;3,540200369;3,504158794;3,532167876;3,542108618;3,926687486;4,125629;4,414561244;4,704824676;4,898739266;5,089535681;5,060478369;4,930587227;4,8411004;4,812785506;5,150566547;5,579799129;5,726026808;5,972154038;6,289866762;6,611891202;6,78037135;6,968874241;7,105315322;7,200942197;7,329422021;7,463926224;6,781604592;6,781604592
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Industrie manufacturière et construction;V0.2.2;Chimie;V0.2.2.1;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;49,83558775;54,78873313;51,7518272;49,74291213;51,50202909;51,11857776;53,01721063;52,70972282;43,65962699;39,4736868;38,32808963;41,19291268;36,12465158;36,17977222;32,77845561;34,02070442;31,566186;31,19651719;29,69187524;26,88066798;25,9940393;24,57340234;23,81948834;23,50734308;22,99498812;22,09456227;21,55323794;21,28090691;20,90191759;19,94916485;19,25635074;19,63320475;18,95921592
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Industrie manufacturière et construction;V0.2.2;Construction;V0.2.2.2;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;3,51891185;3,552155979;3,576754435;3,553797228;2,827675831;3,189590327;3,232079568;2,958400165;4,926460502;4,444419055;3,949959951;4,824357945;6,234807741;5,933647543;5,61784779;5,238880435;5,15751696;4,376650263;3,86072421;3,159501849;2,903131962;4,05944677;3,898262568;3,885009548;3,756775466;3,668576114;3,597979272;3,683136795;3,571592663;3,781642886;3,61211333;3,752985579;3,843541422
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Industrie manufacturière et construction;V0.2.2;Biens d'équipements, matériels de transport;V0.2.2.3;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;5,180840987;5,883066239;5,516604326;6,142156844;5,511745264;6,096016381;6,716043544;6,222251978;5,866025941;5,983908353;5,778303544;6,335031796;5,841081255;6,061251176;5,593754668;5,77417594;5,156624355;4,774322949;4,997575993;3,971808457;4,477457089;3,66235287;3,671219485;3,70021976;3,044473852;3,129284214;3,214222557;3,194911021;3,133973974;3,024162814;3,486500965;3,609115579;3,156786902
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Industrie manufacturière et construction;V0.2.2;Agro-alimentaire;V0.2.2.4;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;8,635987555;10,56735491;9,656990853;10,0747625;10,06156794;10,85272488;10,78920128;10,63066186;10,72642954;11,27000343;10,57226372;11,08107076;11,11729653;10,89852474;10,46112172;11,23823002;11,46654239;11,56345031;10,93568169;10,16166558;11,3078809;10,77408467;10,26554383;10,45551643;10,21334421;10,11100923;10,18563758;9,5491658;9,619200395;9,463117295;8,793492154;9,243908653;8,479595314
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Industrie manufacturière et construction;V0.2.2;Métallurgie des métaux ferreux;V0.2.2.5;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;25,27279332;25,34821476;23,88285675;23,14328543;22,83536004;21,91481204;21,3961347;22,89398627;23,19729755;23,74658449;25,0318111;23,08794278;24,44113114;24,15214884;24,25730812;24,71916046;25,54977606;26,44707267;24,03015476;15,1078122;19,18989468;17,49328352;16,82271077;18,43539373;18,1043418;17,77931755;17,16049367;18,51508578;18,31240915;16,78684016;12,78182382;15,73171604;13,6920808
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Industrie manufacturière et construction;V0.2.2;Métallurgie des métaux non-ferreux;V0.2.2.6;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;7,64146896;8,259957449;8,287529559;6,581595571;6,182516111;6,080381307;6,010279266;5,980026024;6,448903764;7,258331991;5,913657242;5,379468915;6,34480475;5,745068383;4,606183927;3,843709607;4,033089327;3,698342761;3,240803087;2,540828606;2,855688515;2,544532791;2,486585787;2,485802307;2,539088171;2,596058212;2,999641737;2,707380475;2,564549879;2,419031269;2,15974827;2,32994864;2,178896396
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Industrie manufacturière et construction;V0.2.2;Minéraux non-métalliques, matériaux de construction;V0.2.2.7;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;30,09551755;32,51601361;27,56899149;25,43936958;27,02042649;26,51634535;26,12976038;25,04179563;25,58132044;25,63655125;25,19346361;26,01773447;24,80686643;24,68414125;25,35902875;25,08646537;26,26952525;26,37423242;25,07678783;21,97925737;22,75404767;22,61741483;21,36711053;20,66181631;19,95921574;18,82059517;18,9648695;18,44897102;19,38445746;19,36407669;17,83978786;19,16045402;18,39552979
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Industrie manufacturière et construction;V0.2.2;Papier, carton;V0.2.2.8;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;4,518875514;5,663221816;5,064023649;4,818818141;5,13060847;5,208918311;5,512570127;5,464607846;5,48359893;5,303789506;5,258619812;5,069594252;4,56838437;4,655344521;4,288259122;4,066350673;3,992804618;3,651597183;3,245413889;2,773822136;2,977423749;2,470312415;2,506005794;2,883421121;2,730359518;2,653286847;2,733477901;2,52390384;2,557001593;2,43600208;2,3459355;2,532801122;2,340830184
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Industrie manufacturière et construction;V0.2.2;Autres industries manufacturières;V0.2.2.9;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;4,712373593;5,313118553;4,575846053;5,162911083;4,568577085;5,178709685;5,538062523;5,236809757;5,282766482;4,94576159;4,826738511;5,134840276;4,634552581;4,429792301;4,427708016;4,153505636;3,930173896;3,829328101;3,723446339;3,053214878;3,061208614;2,846087136;2,673045509;2,689450651;2,660720882;2,834313732;2,792982223;2,983128164;2,753666122;2,554794105;1,77089063;1,958508527;1,927426767
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Traitement centralisé des déchets;V0.2.3;Stockage des déchets;V0.2.3.1;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;13,14211181;13,84000185;14,60779873;15,39582719;15,71533385;15,97351423;16,13803618;16,35204717;16,91250356;17,20915098;17,53278132;17,86405255;18,15846123;18,30082017;18,25432513;18,04956027;17,95806219;18,00776641;17,97385401;17,28298493;17,21790661;16,12655107;15,70263119;14,10863434;13,16287733;12,34201351;12,37516443;12,47609658;12,20879617;13,10875264;13,08334421;12,25499434;12,25499434
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Traitement centralisé des déchets;V0.2.3;Incinération sans récupération d'énergie;V0.2.3.2;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;2,061509911;2,044204083;2,071461906;2,055199756;2,089618482;2,034535344;1,895872105;1,668074714;1,517020754;1,407518402;1,476131422;1,401344339;1,388742031;1,401668854;1,316756013;1,381596738;1,442711704;1,342504303;1,364202482;1,354606113;1,420909903;1,46729633;1,391988389;1,361377626;1,596145883;1,374876719;1,357746216;1,295484037;1,246962546;1,602275884;1,586225397;1,623236903;1,591918807
